834:1;buildings>infrastructure#2!industrial_complex#1!air_base#1!@3838#naval_base<3+!$manpower>322900$category>town$owner>FRA$vp>3838#1!$cores>COR!FRA!$provinces>3838!9851!11804!$?
115;buildings>infrastructure#3!industrial_complex#1!air_base#10!dockyard#1!@10074#naval_base<2+!@7059#naval_base<5+!@4159#naval_base<8+!@4014#naval_base<3+!$manpower>3836571$category>city$owner>ITA$vp>10074#20!4159#10!$cores>ITA!$provinces>1009!1156!3857!4014!4159!7059!7147!10074!12047!$?
116;buildings>infrastructure#2!air_base#3!@12003#naval_base<3+coastal_bunker<1+!$manpower>241621$category>small_island$owner>ENG$cores>MLT!$vp>12003#5!$provinces>12003!$?
117;buildings>infrastructure#3!arms_factory#1!industrial_complex#2!air_base#3!@819#naval_base<6+!$manpower>5333611$category>city$resources>aluminium#10!steel #!$owner>ITA$vp>819#20!$cores>ITA!$provinces>819!851!883!955!3958!3968!6843!6939!6972!6980!9826!11803!$?
118;buildings>infrastructure#3!air_base#2!@4135#naval_base<5+coastal_bunker<2+!$manpower>21372$category>enclave$owner>ENG$vp>4135#10!$provinces>4135!$?
119;buildings>infrastructure#3!arms_factory#1!industrial_complex#2!air_base#1!dockyard#2!@3379#naval_base<4+!$owner>ENG$vp>3379#5!385#1!$cores>ENG!IRE!NIR!$provinces>276!385!3217!3242!3329!3379!11257!$manpower>1198537$category>"city"$resources>aluminium#2!$?
12;buildings>infrastructure#3!industrial_complex#1!air_base#3!$manpower>1520500$resources>steel#1!$category>rural$owner>LAT$vp>10493#1!$cores>LAT!$provinces>3388!9317!9501!10493!11302!$?
120;buildings>infrastructure#2!anti_air_building#2!industrial_complex#1!air_base#1!@11064#naval_base<8+!@6196#naval_base<1+!$manpower>265873$category>rural$resources>chromium#1!tungsten#16!aluminium#9!$cores>SCO!ENG!$owner>ENG$vp>6062#1!284#1!9075#1!11064#1!$provinces>131!284!3159!3178!3373!6046!6062!6104!6196!6205!9075!9090!11064!11161!11266!$?
121;buildings>infrastructure#4!industrial_complex#1!dockyard#1!air_base#3!@6300#naval_base<5+!$manpower>1431624$category>city$cores>SCO!ENG!$owner>ENG$vp>9392#10!6300#1!$provinces>159!6300!9314!9383!9392!11378!$?
122;buildings>infrastructure#3!industrial_complex#1!@377#naval_base<3+!$manpower>2309230$category>city$resources>steel#11!aluminium#3!$owner>ENG$vp>407#3!311#1!377#5!$cores>ENG!WLS!$provinces>253!311!377!407!3274!6363!9364!11361!$?
123;buildings>infrastructure#4!industrial_complex#1!anti_air_building#2!radar_station#1!air_base#6!@540#naval_base<8+!$manpower>1221013$category>town$owner>ENG$vp>540#10!6526#1!$cores>ENG!$provinces>540!3422!3463!6526!9562!11406!$?
124;buildings>infrastructure#3!@408#naval_base<1+!$manpower>56988$category>small_island$owner>SWE$cores>SWE!$provinces>408!6258!$?
125;buildings>infrastructure#4!arms_factory#1!industrial_complex#3!anti_air_building#2!radar_station#1!air_base#10!@271#naval_base<3+!$manpower>1363174$category>city$owner>ENG$vp>271#5!$cores>ENG!$provinces>221!271!296!322!3287!11221!11253!$?
126;buildings>infrastructure#5!arms_factory#3!industrial_complex#3!dockyard#1!anti_air_building#5!radar_station#1!air_base#10!@11374#naval_base<10+!$manpower>9824296$category>megalopolis$owner>ENG$vp>6103#50!$cores>ENG!$provinces>6103!9239!11333!11374!$?
127;buildings>infrastructure#4!arms_factory#1!industrial_complex#1!dockyard#2!fuel_silo#1!anti_air_building#2!radar_station#1!air_base#10!@3501#naval_base<6+coastal_bunker<3+!@9458#naval_base<10+!$manpower>3193383$category>large_city$owner>ENG$vp>3501#20!9458#15!$cores>ENG!$provinces>507!3501!6489!9458!11446!13070!$?
128;buildings>infrastructure#4!arms_factory#2!industrial_complex#3!air_base#6!$manpower>3685235$category>metropolis$resources>steel#27!$owner>ENG$vp>9297#25!$cores>ENG!$provinces>3241!3301!6270!6301!7239!9297!11345!$?
129;buildings>infrastructure#4!arms_factory#2!industrial_complex#1!air_base#5!$manpower>2212021$category>city$resources>steel#11!$owner>ENG$vp>6237#10!11279#3!$cores>ENG!$provinces>364!3353!6237!9250!9268!9322!11279!$?
13;buildings>infrastructure#3!arms_factory#1!industrial_complex#1!air_base#2!$resources>steel#2.000!$owner>EST$vp>3174#1!$cores>EST!$provinces>83!308!3074!3174!6381!11291!$manpower>423070$category>rural$?
130;buildings>infrastructure#4!arms_factory#2!industrial_complex#3!air_base#10!@11297#naval_base<5+!$manpower>4762495$category>metropolis$resources>steel#71!$owner>ENG$vp>9379#10!11297#5!9315#15!$cores>ENG!$provinces>6268!9269!9315!9332!9379!9397!11297!11317!11382!$?
131;buildings>infrastructure#3!industrial_complex#1!dockyard#4!air_base#6!@351#naval_base<6+!@3311#naval_base<1+!$manpower>2128860$category>city$resources>steel#38!aluminium#5!$owner>ENG$vp>351#10!11332#1!3311#1!$cores>ENG!$provinces>219!351!3311!6399!9285!11270!11299!11332!$?
132;buildings>infrastructure#4!arms_factory#1!industrial_complex#1!dockyard#3!air_base#3!@6384#naval_base<5+!$manpower>5770454$category>metropolis$resources>steel#31!aluminium#2!$owner>ENG$vp>6384#30!6318#5!$cores>ENG!$provinces>3205!6318!6335!6384!$?
133;buildings>infrastructure#4!industrial_complex#1!dockyard#4!anti_air_building#2!air_base#3!@6395#naval_base<2+!$manpower>2257723$category>city$resources>steel#21!$cores>SCO!ENG!$owner>ENG$vp>3273#15!11218#1!$provinces>3273!6320!6350!6385!6395!9237!9350!11218!$?
134;buildings>infrastructure#3!$manpower>667100$category>town$owner>IRE$vp>9303#3!11371#1!$cores>IRE!$provinces>337!3396!9255!9303!9321!9369!11238!11287!11371!$?
135;buildings>infrastructure#3!industrial_complex#3!$manpower>941400$category>town$owner>IRE$vp>7394#5!6313#1!$cores>IRE!$provinces>6289!6313!6405!7394!9284!9310!9405!11237!11267!11334!$?
136;buildings>infrastructure#3!dockyard#2!$manpower>745466$category>town$resources>tungsten#4!aluminium#3!$cores>SCO!ENG!$owner>ENG$vp>200#5!3150#1!$provinces>200!3150!9161!11055!11136!11207!11306!$?
137;buildings>infrastructure#3!dockyard#1!air_base#3!@3686#naval_base<10+coastal_bunker<3+!@9680#naval_base<1+coastal_bunker<1+!$manpower>1061607$category>city$owner>SOV$vp>3686#20!9680#1!6704#1!$cores>SOV!CRI!$provinces>705!3686!3722!6704!6724!9677!9680!9718!11649!$?
138;buildings>infrastructure#3!industrial_complex#1!dockyard#1!@11215#naval_base<5+coastal_bunker<3+!@9279#naval_base<5+coastal_bunker<1+!$manpower>1047701$category>city$owner>SWE$vp>9279#5!11215#1!$cores>SWE!$provinces>3307!6120!6345!6412!9279!9300!9362!11160!11215!11327!11376!$?
139;buildings>infrastructure#3!industrial_complex#2!air_base#2!@11380#naval_base<1+!$manpower>918593$category>town$resources>steel#7!$owner>SWE$vp>11380#1!$cores>SWE!$provinces>211!242!299!329!363!3229!6148!6311!6397!9251!9308!9329!9393!9406!9410!11231!11280!11289!11311!11380!11390!13095!$?
14;buildings>infrastructure#3!dockyard#5!air_base#5!@3552#naval_base<10+coastal_bunker<1+!@6536#naval_base<4+coastal_bunker<1+!@9510#naval_base<1+!$manpower>2396600$category>city$owner>FRA$vp>3552#20!6536#5!9495#1!$cores>FRA!BRI!$provinces>542!3552!3758!6536!6548!6572!9495!9510!9525!11508!$?
140;buildings>infrastructure#3!arms_factory#1!industrial_complex#1!dockyard#1!air_base#1!@383#naval_base<5+coastal_bunker<5+!$manpower>1282827$category>city$resources>steel#6!$owner>SWE$vp>11114#1!383#10!$cores>SWE!$provinces>69!147!171!295!383!3063!3128!3141!3286!3375!3386!6028!6195!6310!6331!6406!9054!9138!9218!11070!11114!13096!$?
141;buildings>infrastructure#4!arms_factory#2!industrial_complex#3!dockyard#1!air_base#6!@6050#naval_base<5+coastal_bunker<3+!$manpower>1488181$category>city$resources>steel#24!aluminium#2!$owner>SWE$vp>6050#20!$cores>SWE!$provinces>35!161!3106!3182!6050!6084!6127!6164!6188!6209!9109!9149!9185!9209!11044!11082!11163!11188!11278!13097!13098!$?
142;buildings>infrastructure#3!industrial_complex#2!air_base#1!@9296#naval_base<3+coastal_bunker<1+!@53#naval_base<1+coastal_bunker<1+!@122#naval_base<3+coastal_bunker<2+!$manpower>880945$category>town$resources>chromium#1!aluminium#15!$owner>NOR$vp>9296#1!53#1!122#3!$cores>NOR!$provinces>53!65!102!122!137!188!199!3049!3090!3093!3096!3114!3129!3180!3188!3192!6145!6176!6204!6216!9047!9096!9127!9170!9196!9216!9296!11100!11101!11176!11198!11367!$?
143;buildings>infrastructure#2!arms_factory#0!industrial_complex#1!@3022#naval_base<3+coastal_bunker<2+!$manpower>280271$category>rural$owner>NOR$vp>3022#3!$cores>NOR!$provinces>21!107!115!3018!3022!3098!3183!6038!6041!6116!6118!6173!9069!9132!9139!11118!11173!$?
144;buildings>infrastructure#2!air_base#1!@192#naval_base<3+!@9116#naval_base<3+!@11050#naval_base<2+!$manpower>355251$category>rural$resources>steel#9!tungsten #!$owner>NOR$vp>192#1!9116#1!11050#1!$cores>NOR!$provinces>22!38!44!64!76!91!128!173!192!2995!3016!3034!3040!3048!3058!3082!3088!3126!3132!3145!6015!6071!6079!6092!6107!6111!6130!6187!6214!9042!9064!9089!9116!9126!9128!9191!9208!11034!11050!11063!11077!11090!11104!11157!11169!$?
145;buildings>infrastructure#3!@9228#naval_base<1+!$manpower>27400$category>small_island$owner>FIN$cores>FIN!$provinces>9228!$?
146;buildings>infrastructure#3!industrial_complex#2!@9100#bunker<2+!@9105#bunker<2+!@9206#coastal_bunker<1+!$category>town$owner>FIN$cores>FIN!KAR!$vp>9206#3!$provinces>2332!3050!3060!3133!3187!6052!6150!6153!9100!9105!9150!9176!9206!11046!11156!11162!$manpower>418635$?
147;buildings>infrastructure#2!$manpower>4630$category>enclave$owner>FIN$cores>FIN!KAR!$vp>197#1!$provinces>197!9158!11085!$?
148;buildings>infrastructure#1!$manpower>121737$category>rural$resources>steel#7!chromium#2!$owner>FIN$cores>FIN!$provinces>30!103!124!162!167!203!2992!3026!3055!3069!3097!3107!3153!3156!3158!3193!6045!6061!6076!6087!6128!6137!6142!6179!9112!9189!9223!11030!11115!11125!11130!11164!11167!11204!$?
149;buildings>infrastructure#2!industrial_complex#2!@3122#naval_base<1+!$manpower>811029$category>town$owner>FIN$vp>3122#3!$cores>FIN!$provinces>63!66!82!120!132!158!195!3119!3122!3172!6013!6081!6138!6141!6198!6212!9038!9156!9166!9219!11033!11041!11065!11081!11121!11126!11132!11144!13113!$?
15;buildings>infrastructure#4!industrial_complex#2!air_base#6!@6449#naval_base<3+coastal_bunker<1+!@9434#naval_base<5+coastal_bunker<1+!@485#naval_base<1+!$manpower>2332100$resources>steel#21!$category>city$owner>FRA$vp>9434#10!6449#3!11563#5!485#3!$cores>FRA!$provinces>485!539!553!3534!3549!3579!6449!6569!6599!9434!9550!9578!11521!11535!11563!$?
150;buildings>infrastructure#2!industrial_complex#1!$manpower>611100$category>town$resources>steel#3!$owner>FIN$cores>FIN!$provinces>7!37!136!139!141!165!193!3013!3030!3068!3073!3115!3125!3131!3149!3185!6033!6078!6134!6146!6156!6210!9056!9061!9104!9106!9163!9169!9181!9233!11024!11043!11076!11079!11141!11199!11210!13104!13108!13109!13110!13111!13112!13114!13115!13118!$?
151;buildings>infrastructure#3!industrial_complex#3!$manpower>1854711$category>city$resources>aluminium#15!$owner>SWI$vp>663#10!$cores>SWI!$provinces>658!661!663!3641!3660!3662!9600!11601!11623!$?
152;buildings>infrastructure#3!industrial_complex#3!$manpower>2275377$category>city$resources>steel#5!aluminium#1!$owner>AUS$vp>688#10!3673#3!9665#3!732#10!$cores>AUS!GER!$provinces>688!732!3673!3674!3684!3703!6552!6687!6691!6708!6723!9650!9665!11651!11612!$?
153;buildings>infrastructure#3!industrial_complex#1!air_base#3!$manpower>1655340$category>town$owner>AUS$vp>673#5!$cores>AUS!GER!$provinces>668!671!673!3675!6673!6678!6680!9633!9636!11618!11634!$?
154;buildings>infrastructure#3!industrial_complex#3!arms_factory#1!air_base#2!$manpower>2735383$category>city$owner>HUN$vp>11659#1!$cores>HUN!$provinces>679!699!730!3730!6670!6700!6735!9656!9706!11625!11644!11646!11659!$?
155;buildings>infrastructure#3!industrial_complex#3!arms_factory#1!air_base#3!$manpower>2197605$category>city$resources>oil #!$owner>HUN$vp>11610#5!$cores>HUN!$provinces>682!686!701!3670!3680!3683!6685!6703!6720!9624!9643!9676!11610!11627!11663!13125!$?
156;buildings>infrastructure#3!dockyard#4!fuel_silo#1!air_base#5!@11837#naval_base<10+!@11998#naval_base<2+!$manpower>2966315$category>city$owner>ITA$vp>11837#15!$cores>ITA!$provinces>3901!6979!9784!9856!9990!10027!11837!11998!12066!12098!$?
157;buildings>infrastructure#3!industrial_complex#1!@925#naval_base<4+!@6831#naval_base<1+!$manpower>2979335$category>city$owner>ITA$vp>925#1!$cores>ITA!$provinces>925!963!967!3910!3923!3966!6831!6926!9838!11790!11861!$?
158;buildings>infrastructure#4!arms_factory#7!industrial_complex#1!dockyard#2!air_base#8!@6788#naval_base<8+!$manpower>4765476$category>metropolis$resources>steel#24!aluminium#16!chromium #!tungsten #!$owner>ITA$vp>6788#10!6780#5!$cores>ITA!$provinces>611!770!771!776!3772!3782!6635!6780!6788!9738!9741!11570!11721!11723!11726!11730!11891!$?
159;buildings>infrastructure#4!arms_factory#7!industrial_complex#3!air_base#10!$manpower>5597704$category>metropolis$owner>ITA$vp>3780#15!$cores>ITA!$provinces>607!773!969!3776!3780!6661!9584!11568!11587!11734!$?
16;buildings>infrastructure#4!arms_factory#4!industrial_complex#4!anti_air_building#3!air_base#5!$manpower>7038500$category>metropolis$owner>FRA$vp>11506#50!$cores>FRA!$provinces>6547!6949!9507!9523!9534!9725!11491!11506!11518!$?
160;buildings>infrastructure#3!arms_factory#2!industrial_complex#4!dockyard#1!air_base#3!@11584#naval_base<6+!$resources>steel#20!aluminium#11!$category>large_city$owner>ITA$vp>11584#10!$cores>ITA!$provinces>603!628!3604!3657!6656!9582!9613!11584!$manpower>3963151$?
161;buildings>infrastructure#4!industrial_complex#1!air_base#2!@782#naval_base<2+!$manpower>3202401$category>large_city$resources>aluminium#9!$owner>ITA$vp>6606#3!$cores>ITA!$provinces>782!3773!3976!6606!6790!6793!6985!9752!9924!$?
162;buildings>infrastructure#4!arms_factory#1!industrial_complex#1!dockyard#3!air_base#2!@6973#naval_base<10+!@11833#naval_base<4+!$manpower>3084933$category>large_city$owner>ITA$vp>9907#3!6973#1!11833#1!$cores>ITA!$provinces>910!1616!3885!6875!6946!6973!9750!9879!9907!11833!11889!$?
163;buildings>infrastructure#3!@3943#naval_base<1+!$manpower>18000$category>enclave$owner>ITA$cores>YUG!CRO!$provinces>3943!$?
164;buildings>infrastructure#3!air_base#1!@10007#naval_base<4+!@7003#naval_base<1+!$manpower>120000$category>small_island$owner>ITA$vp>10007#1!$cores>GRE!$provinces>7003!10007!$?
165;buildings>infrastructure#4!arms_factory#1!industrial_complex#1!air_base#2!@9764#naval_base<4+!$manpower>3036537$category>large_city$owner>SPR$cores>CAT!SPR!$vp>9764#30!6966#1!6927#1!$provinces>854!872!897!3898!3899!6812!6836!6865!6927!6966!9764!9797!9824!11779!$?
166;buildings>infrastructure#3!industrial_complex#1!air_base#3!$resources>steel#15.000!$owner>SPR$vp>3816#3!9840#1!7213#1!$cores>SPR!$provinces>813!948!3816!6878!6901!7213!9812!9840!9842!11737!11838!$manpower>668365$category>town$?
167;buildings>infrastructure#3!dockyard#1!air_base#3!@6906#naval_base<3+!@4098#naval_base<2+!$manpower>1979294$category>large_town$owner>SPR$vp>6906#10!4098#3!$cores>SPR!$provinces>962!3799!3873!4098!6817!6856!6906!6959!9889!9896!$?
168;buildings>infrastructure#3!dockyard#1!air_base#2!@10024#naval_base<8+!$owner>SPR$vp>10024#3!$cores>SPR!$provinces>832!1093!3835!4195!7111!9903!10024!10109!11807!11812!11884!$manpower>1007605$category>town$?
169;buildings>infrastructure#3!industrial_complex#1!arms_factory#1!air_base#3!@1048#naval_base<5+!$owner>SPR$vp>1048#3!7183#10!$cores>SPR!$provinces>1048!1178!3940!4080!4182!7098!7183!9815!9891!10094!11749!12070!13228!13231!$manpower>1746650$category>large_town$?
17;buildings>infrastructure#4!industrial_complex#1!air_base#5!$manpower>1517500$category>city$resources>steel#28!$owner>FRA$vp>9642#5!11516#5!$cores>FRA!$provinces>521!698!3646!3666!6698!9642!9658!11488!11516!11642!$?
170;buildings>infrastructure#3!industrial_complex#1!$resources>tungsten#4.000!$owner>SPR$vp>6902#1!$cores>SPR!$provinces>809!931!985!3930!6866!6902!6948!6954!9839!9877!9917!9925!11756!11780!11798!11851!13230!$manpower>1417652$category>town$?
171;buildings>infrastructure#3!dockyard#2!arms_factory#1!air_base#2!@758#naval_base<6+!$manpower>2295085$category>city$owner>SPR$cores>GLC!SPR!$vp>758#5!6734#3!$provinces>729!758!3761!6734!6764!6955!9686!9689!11675!11677!11692!11710!11840!$?
172;buildings>infrastructure#3!$owner>SPR$cores>NAV!SPR!$vp>3933#1!$provinces>932!3737!3931!3933!9857!$manpower>359880$category>pastoral$?
173;buildings>infrastructure#3!industrial_complex#2!air_base#4!@9979#naval_base<2+!@12038#naval_base<1+!$resources>steel#8.000!$owner>SPR$vp>9979#5!12038#1!1176#3!$cores>SPR!$provinces>747!1176!4065!7068!7153!7196!9979!10009!10063!11956!12038!$manpower>1662292$category>city$?
174;buildings>infrastructure#3!industrial_complex#1!$resources>tungsten#10.000!$owner>SPR$vp>726#1!$cores>SPR!$provinces>726!918!920!3725!3727!3918!3920!6746!6907!9699!11843!13219!13232!$manpower>749041$category>rural$?
175;buildings>industrial_complex#1!infrastructure#3!$owner>SPR$vp>6832#1!$cores>SPR!$provinces>3953!6800!6832!6896!9778!9828!9881!11863!12081!13229!$manpower>526903$category>rural$?
176;buildings>infrastructure#3!industrial_complex#1!$owner>SPR$vp>885#3!$cores>SPR!$provinces>857!884!885!3859!3887!3902!6903!9870!11766!11852!11854!13220!13226!$manpower>739760$category>rural$?
177;buildings>infrastructure#3!air_base#1!@9793#naval_base<2+!@7114#naval_base<1+!$manpower>365500$category>rural$vp>9793#1!$owner>SPR$cores>SPR!$provinces>7114!9793!9845!$?
178;buildings>infrastructure#2!@13071#naval_base<1+!$manpower>561347$category>small_island$owner>SPR$vp>13071#1!$cores>SPR!$provinces>13071!$?
179;buildings>infrastructure#3!industrial_complex#3!@3790#naval_base<2+!$owner>POR$vp>3790#1!6880#1!6933#1!970#1!$cores>POR!$provinces>970!980!3790!3866!6880!6884!6933!9765!9819!$manpower>777895$category>rural$?
18;buildings>infrastructure#4!industrial_complex#1!air_base#10!$manpower>1370800$category>city$owner>FRA$vp>9490#5!13011#5!3560#1!$cores>FRA!$provinces>551!3533!3546!3560!5291!6531!6545!9472!9490!9505!11732!13011!$?
180;buildings>infrastructure#3!industrial_complex#2!dockyard#1!@9817#naval_base<3+!$manpower>1904600$category>large_town$owner>POR$vp>9817#10!11673#5!$cores>POR!$provinces>724!877!3892!6921!6941!9817!11673!$?
181;buildings>infrastructure#2!industrial_complex#2!$manpower>964700$category>town$resources>tungsten#150!$owner>POR$vp>9787#1!6996#1!$cores>POR!$provinces>845!889!938!3969!6818!6996!9787!11885!$?
182;buildings>infrastructure#2!air_base#2!@12058#naval_base<1+!@9940#naval_base<3+!$manpower>387900$category>town$owner>GRE$vp>9940#5!12058#3!$cores>GRE!$provinces>1164!4170!9940!12058!$?
183;buildings>infrastructure#2!air_base#1!@7193#naval_base<2+!$manpower>347959$category>rural$resources>chromium#3!$owner>ENG$cores>CYP!$vp>11984#5!7193#3!$provinces>7193!11984!$?
184;buildings>infrastructure#1!arms_factory#1!$manpower>382500$category>rural$resources>chromium#11.000!$vp>11905#1!$owner>GRE$cores>GRE!$provinces>9791!9930!11774!11905!$?
185;buildings>infrastructure#2!industrial_complex#1!air_base#3!@9805#naval_base<1+!$manpower>760900$category>rural$resources>chromium#14!steel #!$vp>10203#1!3914#3!1205#1!$owner>GRE$cores>GRE!$provinces>841!1106!1205!3914!3980!9805!9837!9916!10203!11786!11895!12001!$?
186;buildings>infrastructure#2!arms_factory#1!@11965#naval_base<1+!@7211#naval_base<2+!$manpower>945000$category>town$vp>7211#5!7096#1!11965#1!$owner>GRE$cores>GRE!$provinces>1173!4078!4178!4193!7096!7211!11965!$?
187;buildings>infrastructure#1!dockyard#1!@8435#naval_base<1+!@6550#naval_base<1+!$manpower>322600$category>small_island$resources>chromium#7!$owner>GRE$vp>6550#1!8435#1!$cores>GRE!$provinces>3401!6550!8435!$?
188;buildings>infrastructure#3!industrial_complex#1!@3288#naval_base<1+!$manpower>150000$category>rural$vp>3288#3!$owner>LIT$cores>LIT!$provinces>3288!$?
189;buildings>infrastructure#3!@6314#naval_base<1+!$resources>steel#2.000!$owner>LIT$vp>9483#3!6314#1!$cores>LIT!$provinces>3337!3354!6314!9483!9499!9731!$manpower>697100$category>town$?
19;buildings>infrastructure#3!arms_factory#1!dockyard#1!air_base#3!@9737#naval_base<3+coastal_bunker<1+!$resources>steel#25.000!aluminium#11.000!$owner>FRA$vp>9737#20!$cores>OCC!FRA!$provinces>6621!6762!6777!9737!11565!$manpower>1140400$category>city$?
190;buildings>infrastructure#3!@9262#naval_base<1+!dockyard#1!$category>rural$vp>9262#3!3296#1!$owner>LAT$cores>LAT!$provinces>3194!3296!3319!6322!9262!11246!$manpower>315500$?
191;buildings>infrastructure#3!$owner>EST$vp>9221#1!592#1!$cores>EST!$provinces>592!6178!6408!9221!9485!$manpower>225840$category>rural$?
192;buildings>infrastructure#3!industrial_complex#1!air_base#6!@11670#naval_base<3+coastal_bunker<1+!$manpower>1286238$category>city$owner>SOV$vp>11670#10!$cores>SOV!UKR!$provinces>3575!3738!9698!9714!11670!11703!$?
193;buildings>infrastructure#3!air_base#8!$manpower>1373637$category>city$vp>3568#3!$owner>SOV$cores>SOV!UKR!$provinces>238!546!3480!3542!3568!3584!6458!6508!6532!6589!9437!9506!11425!11489!$?
194;buildings>infrastructure#2!air_base#3!$manpower>934632$category>rural$owner>SOV$vp>6232#1!$cores>SOV!BLR!$provinces>215!3203!3293!3507!6232!6319!6556!9249!9554!11453!$?
195;buildings>infrastructure#4!arms_factory#6!industrial_complex#1!dockyard#3!air_base#10!@3151#naval_base<10+coastal_bunker<5+!$manpower>3750158$category>metropolis$owner>SOV$vp>3151#30.0!$cores>SOV!$provinces>79!149!3151!6174!11068!$?
196;buildings>infrastructure#3!air_base#3!$manpower>728363$category>rural$resources>chromium#15!$vp>721#1!$owner>SOV$cores>SOV!UKR!CRI!$provinces>568!721!737!767!3573!6771!9712!11715!$?
197;buildings>infrastructure#3!dockyard#1!$manpower>896311$category>rural$vp>11683#3!$owner>SOV$cores>SOV!UKR!$provinces>409!574!3403!3755!6597!9573!11546!11683!$?
198;buildings>infrastructure#3!air_base#3!$manpower>1893391$category>large_town$vp>476#3!$owner>SOV$cores>SOV!UKR!$provinces>476!6455!6480!9423!9435!9481!$?
